2024-08-23T15:35:45.130Z: 252.64910399913788ms
2024-08-23T15:35:45.381Z: 249.25421398878098ms
2024-08-23T15:35:45.652Z: 267.2730850279331ms
2024-08-23T15:35:45.924Z: 270.8804720044136ms
2024-08-23T15:35:46.199Z: 274.168319016695ms
2024-08-23T15:35:46.482Z: 281.68972501158714ms
2024-08-23T15:36:37.933Z: 713.1103569865227ms
2024-08-23T15:36:38.384Z: 446.5030010044575ms
2024-08-23T15:36:38.618Z: 232.57548901438713ms
2024-08-23T15:36:39.060Z: 440.3275600075722ms
2024-08-23T15:36:39.338Z: 276.04426899552345ms
2024-08-23T15:36:39.589Z: 250.3782869875431ms
2024-08-23T15:36:39.848Z: 257.3539789915085ms
2024-08-23T15:36:40.102Z: 252.41495302319527ms
2024-08-23T15:36:40.387Z: 282.8881160020828ms
2024-08-23T15:36:40.666Z: 277.8200260102749ms
2024-08-23T15:36:41.262Z: 453.9018779993057ms
2024-08-23T15:36:41.528Z: 264.3033410012722ms
2024-08-23T15:36:41.803Z: 273.62619400024414ms
2024-08-23T15:36:42.051Z: 246.7589499950409ms
2024-08-23T15:36:42.369Z: 266.93896901607513ms
2024-08-23T15:36:42.756Z: 385.9822909832001ms
2024-08-23T15:36:42.989Z: 231.50175300240517ms
2024-08-23T15:36:43.259Z: 268.2068369984627ms
2024-08-23T15:36:43.519Z: 258.8235219717026ms
2024-08-23T15:36:43.784Z: 264.853807002306ms
2024-08-23T15:36:44.039Z: 254.41503098607063ms
2024-08-23T15:36:44.289Z: 247.8458430171013ms
2024-08-23T15:36:44.570Z: 280.49643701314926ms
2024-08-23T15:36:44.883Z: 307.96696400642395ms
2024-08-23T15:36:45.170Z: 283.90882700681686ms
2024-08-23T15:36:45.499Z: 281.3786869943142ms
2024-08-23T15:36:45.799Z: 285.90049999952316ms
2024-08-23T15:36:46.087Z: 284.62566500902176ms
2024-08-23T15:36:46.390Z: 299.90761500597ms
2024-08-23T15:36:46.621Z: 228.36435097455978ms
