2024-08-23T15:35:48.651Z: 116.43357598781586ms
2024-08-23T15:35:48.709Z: 49.32431101799011ms
2024-08-23T15:35:48.801Z: 87.06060600280762ms
2024-08-23T15:35:48.928Z: 90.74437502026558ms
2024-08-23T15:35:48.980Z: 50.274904012680054ms
2024-08-23T15:35:49.074Z: 88.33621299266815ms
2024-08-23T15:36:46.698Z: 61.185333997011185ms
2024-08-23T15:36:46.863Z: 104.72765299677849ms
2024-08-23T15:36:46.914Z: 48.959188014268875ms
2024-08-23T15:36:46.991Z: 76.85217699408531ms
2024-08-23T15:36:47.079Z: 85.483726978302ms
2024-08-23T15:36:47.176Z: 87.49471199512482ms
2024-08-23T15:36:47.223Z: 45.43622699379921ms
2024-08-23T15:36:47.297Z: 73.0863389968872ms
2024-08-23T15:36:47.399Z: 101.34293201565742ms
2024-08-23T15:36:47.453Z: 47.737484991550446ms
2024-08-23T15:36:47.532Z: 73.01029500365257ms
2024-08-23T15:36:47.804Z: 191.33484798669815ms
2024-08-23T15:36:47.868Z: 49.29456600546837ms
2024-08-23T15:36:48.077Z: 207.25471702218056ms
2024-08-23T15:36:48.123Z: 45.011922001838684ms
2024-08-23T15:36:48.209Z: 83.87013199925423ms
2024-08-23T15:36:48.262Z: 47.07190099358559ms
2024-08-23T15:36:48.338Z: 74.71797299385071ms
2024-08-23T15:36:48.432Z: 92.24133598804474ms
2024-08-23T15:36:48.506Z: 59.57908698916435ms
2024-08-23T15:36:48.559Z: 51.77737399935722ms
2024-08-23T15:36:48.639Z: 78.89037600159645ms
2024-08-23T15:36:48.783Z: 136.840685993433ms
2024-08-23T15:36:48.840Z: 53.06199797987938ms
2024-08-23T15:36:48.944Z: 93.11478102207184ms
2024-08-23T15:36:49.014Z: 68.15182799100876ms
2024-08-23T15:36:49.188Z: 172.985327988863ms
2024-08-23T15:36:49.236Z: 46.720647007226944ms
2024-08-23T15:36:49.339Z: 96.34982800483704ms
2024-08-23T15:36:49.462Z: 121.57363998889923ms
